timestamp,latitude,longitude,speed_kmh,confidence,frame
2026-06-03 16:53:50,21.027763,105.83416,0.0,0.392,4
2026-06-03 16:53:51,21.027763,105.83416,0.0,0.703,16
2026-06-03 16:53:52,21.027763,105.83416,0.0,0.739,32
2026-06-03 16:53:53,21.027763,105.83416,0.0,0.33,55
2026-06-03 16:53:55,21.043452,105.767377,0.0,0.727,74
2026-06-03 16:53:56,21.043452,105.767377,0.0,0.293,97
2026-06-03 16:53:58,21.043452,105.767377,0.0,0.256,147
2026-06-03 16:54:04,21.043452,105.767377,0.0,0.288,240
2026-06-03 16:54:05,21.043452,105.767377,0.0,0.633,250
2026-06-03 16:54:07,21.043452,105.767377,0.0,0.488,257
2026-06-03 16:54:08,21.043452,105.767377,0.0,0.374,265
2026-06-03 16:54:09,21.043452,105.767377,0.0,0.644,273
2026-06-03 16:54:10,21.043452,105.767377,0.0,0.261,284
2026-06-03 16:54:11,21.043452,105.767377,0.0,0.605,292
2026-06-03 16:54:12,21.043452,105.767377,0.0,0.695,302
2026-06-03 16:54:13,21.043452,105.767377,0.0,0.657,312
2026-06-03 16:54:14,21.043452,105.767377,0.0,0.496,322
2026-06-03 16:54:16,21.043452,105.767377,0.0,0.283,333
2026-06-03 16:54:17,21.043452,105.767377,0.0,0.283,343
2026-06-03 16:54:18,21.043452,105.767377,0.0,0.586,352
2026-06-03 16:54:20,21.043443,105.767384,0.0,0.29,376
2026-06-03 16:54:21,21.043443,105.767384,0.0,0.453,386
2026-06-03 16:54:22,21.043443,105.767384,0.0,0.625,396
2026-06-03 16:54:23,21.043443,105.767384,0.0,0.447,406
2026-06-03 16:54:25,21.043443,105.767384,0.0,0.256,417
2026-06-03 16:54:26,21.043443,105.767384,0.0,0.297,428
2026-06-03 16:54:27,21.043443,105.767384,0.0,0.344,443
2026-06-03 16:54:30,21.043443,105.767384,0.0,0.272,466
