timestamp,latitude,longitude,speed_kmh,confidence,frame
2026-06-03 15:39:01,21.043456,105.767401,0.0,0.34,1
2026-06-03 15:39:02,21.043456,105.767401,0.0,0.315,10
2026-06-03 15:39:03,21.043456,105.767401,0.0,0.309,24
2026-06-03 15:39:04,21.043456,105.767401,0.0,0.317,39
2026-06-03 15:39:05,21.043456,105.767401,0.0,0.316,52
2026-06-03 15:39:06,21.043456,105.767401,0.0,0.319,62
2026-06-03 15:39:07,21.043456,105.767401,0.0,0.45,70
2026-06-03 15:39:09,21.043456,105.767401,0.0,0.367,80
2026-06-03 15:39:10,21.043456,105.767401,0.0,0.268,91
2026-06-03 15:39:11,21.043456,105.767401,0.0,0.36,103
2026-06-03 15:39:12,21.043456,105.767401,0.0,0.725,113
2026-06-03 15:39:13,21.043456,105.767401,0.0,0.302,125
2026-06-03 15:39:14,21.043456,105.767401,0.0,0.358,136
2026-06-03 15:39:15,21.043456,105.767401,0.0,0.569,147
2026-06-03 15:39:16,21.043456,105.767401,0.0,0.546,158
2026-06-03 15:39:17,21.043456,105.767401,0.0,0.636,169
2026-06-03 15:39:19,21.043456,105.767401,0.0,0.269,195
2026-06-03 15:39:20,21.043456,105.767401,0.0,0.503,208
2026-06-03 15:39:23,21.043456,105.767401,0.0,0.253,248
2026-06-03 15:39:24,21.043456,105.767401,0.0,0.255,263
2026-06-03 15:39:25,21.043456,105.767401,0.0,0.536,276
2026-06-03 15:39:26,21.043456,105.767401,0.0,0.419,290
2026-06-03 15:39:30,21.043456,105.767401,0.0,0.295,339
2026-06-03 15:39:31,21.043456,105.767401,0.0,0.307,357
2026-06-03 15:39:32,21.043456,105.767401,0.0,0.45,368
2026-06-03 15:39:34,21.043456,105.767401,0.0,0.353,373
2026-06-03 15:39:38,21.043456,105.767401,0.0,0.265,398
