timestamp,latitude,longitude,speed_kmh,confidence,frame
2026-06-04 22:49:29,21.04345,105.767389,0.0,0.69,92
2026-06-04 22:49:30,21.04345,105.767389,0.0,0.727,132
2026-06-04 22:49:31,21.04345,105.767389,0.0,0.493,167
2026-06-04 22:49:34,21.04345,105.767389,0.0,0.457,276
2026-06-04 22:49:35,21.04345,105.767389,0.0,0.576,310
2026-06-04 22:49:36,21.04345,105.767389,0.0,0.715,344
2026-06-04 22:49:37,21.04345,105.767389,0.0,0.814,375
2026-06-04 22:49:38,21.04345,105.767389,0.0,0.805,408
2026-06-04 22:49:41,21.04345,105.767389,0.0,0.409,480
2026-06-04 22:49:42,21.04345,105.767389,0.0,0.307,522
2026-06-04 22:49:43,21.04345,105.767389,0.0,0.349,558
2026-06-04 22:49:44,21.04345,105.767389,0.0,0.365,590
2026-06-04 22:49:45,21.04345,105.767389,0.0,0.59,622
2026-06-04 22:49:46,21.04345,105.767389,0.0,0.544,651
2026-06-04 22:49:47,21.04345,105.767389,0.0,0.778,683
2026-06-04 22:49:48,21.04345,105.767389,0.0,0.727,715
2026-06-04 22:49:49,21.04345,105.767389,0.0,0.667,749
2026-06-04 22:49:51,21.04345,105.767389,0.0,0.522,802
2026-06-04 22:49:52,21.04345,105.767389,0.0,0.26,841
2026-06-04 22:49:53,21.04345,105.767389,0.0,0.395,877
2026-06-04 22:49:54,21.04345,105.767389,0.0,0.535,911
2026-06-04 22:49:55,21.04345,105.767389,0.0,0.745,944
2026-06-04 22:49:56,21.04345,105.767389,0.0,0.281,980
2026-06-04 22:49:57,21.04345,105.767389,0.0,0.399,1012
2026-06-04 22:49:58,21.04345,105.767389,0.0,0.485,1044
2026-06-04 22:49:59,21.04345,105.767389,0.0,0.307,1080
2026-06-04 22:50:00,21.04345,105.767389,0.0,0.413,1114
2026-06-04 22:50:01,21.04345,105.767389,0.0,0.456,1147
2026-06-04 22:50:02,21.04345,105.767389,0.0,0.284,1178
2026-06-04 22:50:03,21.04345,105.767389,0.0,0.354,1206
2026-06-04 22:50:04,21.04345,105.767389,0.0,0.728,1233
2026-06-04 22:50:05,21.04345,105.767389,0.0,0.278,1259
2026-06-04 22:50:06,21.04345,105.767389,0.0,0.312,1287
